,CLASS
เจนนี่ ชั้นอยากเจอเธออออออออออออ,7
คิดถึงเธองะเลิกเรียนไวๆ,7
@ppipermclean ยัยคนสวย คิดถึงเธอจัง,7
พวกเธอ เราอยากดูป่าท้อ เราอยากดูเยี่ยหัว เราอยากบีบเจ้าก้อนแป้ง #หยางหยาง https://t.co/AfU7Dn4ui2,7
"ชอบที่เธอพูดว่า ""อย่าดื้อ"" แล้วทำหน้าจริงจัง  มันน่าร๊ากกก  &gt;\\&lt; 
#ของขวัญให้แฟน #ทีมติดแฟน 
Ig : indyonlyblossom https://t.co/cVSSfke5vN",1
เราจะจากไปให้โลกของเธอสดใสเหมือนเดิม,2
คิดถึงเธอน่ะรู้ไหม,7
เธอตะมุตะมิจัง @GaemGyu  so cute 😙 https://t.co/2IRjyLtwa8,1
ตอนรอเธอตอบ vs ตอนเธอตอบ https://t.co/n7omJACzzk,6
"รู้ว่าเธอกำลังเปลี่ยนไป
และฉันก็แกล้งไม่รู้เพื่อยื้อเวลา

#ความรู้สึก. #ความรักก็เช่นกัน   #อกหัก 
#เธอที่ร้าย",7
@Namaya_Neki นี่เธอยังกล้ากลับมาตอบเมนอีกเหรอ,6
@Namaya_Neki ฉันนึกว่าเธอเทเมนชั่นทิ้งไปแล้วซะอีก,6
@peachhbell เธอจะหมายถึงเธอเป็นอาหารตาเหรอเบลล่า ..... ไหนขอดู https://t.co/UompX7Bd2S,7
"ซื้อรถอ่ะ ต้องจอง
แต่ถ้าเธอไม่มีเจ้าของ เราขอจองได้ไหม. 😋😍💕
#แคปชั่นอ่อย #แคปชั่นเสี่ยว 
#อ่อยยังไงไม่ให้รู้ว่าอ่อย #แคปชั่น",7
แอบหลงรักเธออยู่ แต่เธอคงดูไม่ออก💕,7
@THITIPH1102 เด๋อในเด๋อนอกจริงๆ เด๋อขนาดนี้แล้วเอาให้สุดนะคะ จะคอยดูความเด๋อของคุณเธอต่อไป,7
เราไม่ชอบเธอได้ เราก้เฉยๆกับเธอได้ ไม่ได้ใจร้ายขนาดนั้น มาเปิดใจคุยกันยังได้ แฟร์ .,8
"@Maydayzzy ไม่ต้องห่วง
ฉันไม่ดูเค้าแค่ทวิตเดียวแล้วตัดสินแน่นอน 55555",7
"@ห้องพยาบาล
ฉันไม่เคยคิดมาก่อนเลยว่าตัวเองจะตายยังไง นั่นสินะ..ก็ฉันอายุ 13 นี่นา .ใช้หมอนซับน้ำตาแล้วนอนมองหน้าต่างห้องพยาบาล",2
พี่มาร์คคคค 😭😭😭โอ้ยยยยยชอบบบบบบบบ  ชอบผู้ชายแบบเน้!!!!!!! ฉันรักเค้าาาาาาาา!!!!! https://t.co/R892uHzQJJ,7
จะได้รับเวลานานที่จะไม่ตรงกับครอบครัวของฉัน &gt;//&lt; #리사 https://t.co/ozFwCnSc5u,7
""" ฉันเตรียมไว้หลายเรื่องเลยล่ะ ไว้วันหลังจะเล่าให้ฟังนะ ฉันว่าจะเล่าเรื่อง The Fountain of Fair Fortune ล่ะค่ะ "" 
.… https://t.co/ttJvWkz9RU",7
""" อะไรกันเด็กๆเบื่อกันเหรอคะ? ใครว่างอยากให้ฉันเล่านิทานให้ฟังมั้ย? ""
.เดินไปดูนักเรียนที่รอเรียน https://t.co/2x0KdXLpD9",7
"@GCPDGordon_ ""ฉันไม่–"" เขากระพริบตาปริบๆก่อนจะตั้งหน้าตั้งตาหั่นต่อไป ""...""",8
ตอแหล ไหนบอกกลับมาจะไปฟิตเนส ตอแหล รตาตอแหล งั้นมึงเป็นหมูต่อไป อีอ้วน อีสลอต,4
อีดอก ถ้ายุนกิแต่งหญิงนะมึง ฟหกดเาสวฟหดด่าสวฟหดด่าสว กรี๊ดดดดดดดดดดด,7
ให้อภัยคนได้นะแต่กับคนนี้ อย่าหวัง คนอย่างมึงไม่ควรได้มัน,5
ประกาศถึง พิมชาแทนน ถ้ามึงกลัวโดนด่า กรุนาตอบแชทกูด้วย อีสัสสสส @Tan_Plus,4
"กูไม่รู้ว่า..กูเป็นเพื่อนที่ดีมั้ย
แต่กูรู้ว่า""ถ้ามึงเจ็บ""
กูจะนั่งอยู่ข้างๆเป็นเพื่อนมึง",7
ถึงเวลาที่กูจะไปเมื่อไหร่ มึงจะไม่มีวันได้เห็นหน้ากูเลย,4
@benzeAkkhadet เพื่อนมึงเพ้อถึงใครไม่รู้,6
นี่มึงโง่หรือมึงโง่เนี่ย 😂,7
มีความจำเป็นอะไรที่กูต้องไปขโมยขี้อ่ะ มึงบ้าหรอ,6
@babuababo (ಠ_ಠ) มึงอย่ารวบไปร้องคนเดียวเด๊ยยยยย์,7
หวานเชียวมึง /// ลบแม่ง https://t.co/f0rudvp8Yx,4
ก็หวงก็ไม่อยากให้ใครเข้าใกล้มึง,7
มึงไม่ต้องหายไปไหนหรอก เดี๋ยวกูจะเป็นคนหายไปเอง 😊,8
ตอนกูชอบมึงแทบตาย มึงทำไรอยู่วะ?,7
@SWG_MinSG เกรงใจอ่ะกลัวแม่เธอว่า,3
เธอจะไปพารากอนทุกวันเลยใช่มั้ย....,6
จากวันที่เธอไม่อยู่ของฟาร์มเดอะว้อยอ้ะไอซ์ฟังเป็นร้อยรอบล้ะ5555555555 สัสจะอวก มีการตอแหลว่าเพลงเพราะดีด้วยน้ะะ ปล.ไม่ได้แขวะ,5
"...ผ่าตัดหัวใจ ไม่ต้องใช้ยาชา 
เพราะแค่เธอบอกลา มันก็ชาไปทั้งหัวใจ....",7
@SBTxPayton งั้นคงต้องรออีกปีละนะ เธอคิดว่าไงละ?,7
วันจันทร์ คือ Monday แต่ถ้าโดนเราเย เธอจะร้องว่า Mondee #ขอพื้นที่แต่งกลอน,7
เป็นของที่เธอไม่สน และมองข้ามไป,8
"#HunHanReturn 
หมดเวลาแล้วเธอคงต้องไป
แต่สิ่งที่เหลือในใจยังอยู่
คือความคิดถึงที่เธอนั้นไม่รู้
พูดไม่ได้ ทำได้เพียง… https://t.co/PyeSjsKLfr",7
"@JudithTWD_TH ยิ้มมองด้วยความร้ายกาจ ""เมื่อไหร่พ่อของเธอจะมาสาวน้อย..""",7
ไม่สวยเท่ามึงหรอก ไม่ดอกเท่ามึงด้วย😉,7
อยู่กับกูเหมือนมึงไม่มีความสุขเลยหวะ,2
@_95LINEE เพื่อนมึงเที่ยวกับมึงตั้งแต่ตอนไหนหนิ ของกูเปลี่ยนจากซีแอตเติ้ลเป็นชิคาโก้แค่นั้นเลย,6
@SHUN94XX กินเหมือนแมวกูเลยนะมึง,6
คือทำไมเวลาทำงานด้วยกัน พวกมึงต้องมีปัญหากับกูตลอด,6
ถึงมึงจะหมดหวังเพราะคนอื่น แต่อย่าลืมไปว่า มึงยังมีตัวเองอยู่ สำคัญตัวเองซะใหม่ แล้วก้เริ่มใหม่ ชีวิตยังดีขึ้นเยอะได้ ถ้าไว้ใจตัวเอง,7
ดีเเค่ไหนก็สู้เขาไม่ได้หรอก ก็บอกเเล้วผญชอบผชเเบบนั้น มึงก็คงชอบสินะ....,7
ทุกโพสต์มึงหมายถึงคัยกูไม่รู้ แต่ทุกโพสต์ของกูหมายถึงมึง,7
ก็วงกูกูก็อวยถูกม๊? ถ้ามีคนมาด่าวงมึงมึงก็ต้องออกมาปกป้องถูกม๊?,4
"แค่มึงไม่รักก็เจ็บจะตายห่าอยู่แล้ว
ยังจะกลับมาให้ความหวังกันอีก
ยังจะทำเหมือนอยากยืนข้างๆกันทำไมวะ
#อกหัก #เจ็บสัส",2
ยอมแล้วกูยอมมึงแล้วเอสเอม อยู่ด้อมไหนกูก็เกลียดได้ ผี,4
""" นี่มึงแกล้งกูสินะ """,4
ไม่ไล่ แค่แล้วแต่มึง https://t.co/VErkoWNoNd,8
แม่งรรแม่งเอาอีกละนะ ถ้ามาสายเยอะๆจะฝห้ให้พักการเรียนคือมึง??????,4
"ดูก็รู้ว่าหัวทองเป็นพระเอก
แต่มึงคะ คนที่appreciateเราที่ข้างใน
ไม่ใช่รูปลักษณ์ภายนอกมันสมควรได้รับการ
ชื่นชมและสมค… https://t.co/Fnhr7Uh6Ke",7
อยากให้รู้ว่าฉันจะยืนและอยู่ไม่ไปไหน,7
วันที่ฉันป่วย,2
"ฉันกำลังฟัง ""อยากรัก ต้องไม่กลัวคำว่าเสียใจ -ดา เอ็นโดรฟิน"" รับฟังเพลงทาง JOOX ได้แล้ว! https://t.co/jvzg6Yd5Kq https://t.co/xXI9f5feSA",7
ปัจฉิมน้องรหัสถามอยากได้อะไร😂😂😂 ถ้าพี่ตอบว่าอยากได้บั้ม น้องจะให้พี่สั่งเองอีกรึป่าว เอาเลย สั่งเลย เดี๋ยวเอาตังให้แบบนี้ แล้วฉันควรตอบอะไรร,7
"""ฉันรู้สึกว่าฉันได้ใช้เวลาในชีวิตนี้
อย่างสิ้นเปลืองไปกับการรอคอยบางสิ่ง

ที่ไม่มีวันเกิดขึ้นจริง "" http://t.co/RoQFrdKrdk",7
ถ้าคิดจะร้องๆเต้นๆ หยิ่ง รักกันเฉพาะตอนทำงาน ก็ทำงานของคุณไปเถอะ ฉันไม่สนับสนุนคุณหรอก,5
@_littlemeaning ให้ฉันเลือกแล้วได้อะไร นอกจากเสียเงิน 55555555,1
@B2FAM_SBOT ทิลูล่า - ฉันไม่ชอบคนที่พูดไม่รู้เรื่อง  ไสหัวไปซะ  ถ้าปืนมันลั่นฉันไม่รับรู้ด้วยหรอกนะ,4
ฉันเป็นเกรย์ อยากได้หมอเชพเพิร์ดด,7
ปลากล้วย ออลแจใช่มะ ตอบฉัน https://t.co/HtG4WFFXoP,7
มากกว่ารักก็ชีวิตฉัน จะเอาไหม,7
"หากคุณมีคนที่มีแฟนแล้ว มาคุยด้วย มาพยายามจีบ สิ่งที่คุณต้องทำคือ บอกเขาไปตรงๆว่า ""ไปเลิกกับแฟนมาก่อนคร่าาาา แล้วค่อยมาจีบฉัน"" #หาคู่",7
@SUBARUOFSICK แวมไพร์เหรอ.. ฉันไม่เคยเห็นหรอกนะ แล้วศัพท์แสลงของแม่มดก็ออกจะเยอะด้วยสิ,8
"เมนูช่วยชีวิตจากเซเว่น
วุ้นเส้น10บาท
เต้าหู้ไข่ไก่9บาท
รสดี6บาท
มึงต้มแล้วใส่น้ำเยอะๆแดกแล้วอิ่มมาก

 #ตีแผ่ชีวิตเด็กหอ",8
ตามอ่านข่าวการเมืองสหรัฐแล้วเครียด คิดมาก พยายามใจเย็น เตือนตัวเองว่ามึงอยู่ปากเกร็ด,4
ไม่หรอก อะไรเป็นงานมึงขกหมดแหละ,8
มึงเกลียดหรือมึงไม่ชอบกูไม่ต้องดูนะ มาดูทำไมอ่ะงง เป็นอะไรมากมั้ยอ่ะ,4
@GWENTHEFANCYBOY เดี๋ยวนี้แรดนะมึง😏,6
คือมึงบอกในไลน์กลุ่มสิ ไลน์กลุ่ม,4
@ticha_korn ก็อยู่แล้วแม้ะ มึงจะให้กูไปหัวปีท้ายปีเลยหรอ 5555555555 แต่กูอยากไปกับเพื่อนสนิทกูที่มหาลัยด้วย จะไปด้วยกันแม้ะ ทรีโออินโคเรีย,7
"คอลกับแฟน 
เรา : เค้าบอกว่าเดี๋ยวบอกหัวข้อไง
แฟน : ไม่ๆ เดี๋ยวเค้าสอน คือ7yส่วน3 *บลาๆ* 

เพื่อน : มึงดูเป็นแฟนที่มีสาระกันอ่ะ",7
EXOไม่ดัง แบบไหนเรียกดัง ใช่แบบวงที่มึงชอบมั้ย ถ้าใช่ก็สำนึกไว้ว่าอคติ เปิดหูเปิดตาแล้วยอมรับความจริงได้แล้ว https://t.co/R51CSEsOZ9,4
"@kaew96_ คือหลังจากนี้ มึงจะคิดว่าซื้อมาทำไม ซื้อมาไม่ได้ใช้ เพราะงั้น.....

ต้องใช้ให้เกิดประโยชน์",7
มึงอาจจะเป็นโลกทั้งใบของใครสักคนก็ได้,7
เรื่องแย่ๆ ในอดีตมึงก็เก็บไว้ดิว่า จะเอามาพูดทำไมอ่ะ,4
"เพื่อนบอกว่า มึงควรหยุดรีของแจกได้แล้ว
เพราะจะได้เอาดวงที่ได้ของแจกไปเข้ามหาลัยสักที😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂",7
@osnqx_ วันที่มึงแต่งงาน,8
@Darky_pam ฉันไม่พูดหรอกนะ ... ถึงฉันจะใส่ชุดเมดอยู่แต่ฉันเป็นผู้ชายให้พูดแบบนั้นมันน่าอายออก,7
@PHWxElliot เช่นกันคง แต่ฉันก็ยังถนัดเรื่องดวงดาวมากกว่าอยู่ดี,8
"ช่วยสอนให้ฉันได้รู้ว่าคำว่ารักนั้นคืออะไร 
สักอาทิตย์ละครั้ง ถ้าคิดเป็นคอร์สน่ะคิดเท่าไร แอร้ https://t.co/AGcpjnGiMd",7
ชอบอ่ะ สมานฉัน ฟิลเดียวกันเลยแต่นี่กรี๊ดอยู่คนเดียวอยู่บ้าน555555 https://t.co/E4MRCADgtG,7
จะเป็นนักกีฬาระดับชาตินี่มันลำบากจริงๆ ว่ะ ฉันเริ่มรู้สึก.. https://t.co/6XxTqnbcL3,8
RT &lt; มุรามาสะบังไคแบบ ... เราจะพยายามไม่ให้เธอบังไคนะ 😂,7
@JInbunnyJ เมนเธอเลยครัฟฟฟฟฟ สานสัมพันธ์ https://t.co/ytykJ0paxs,1
หากยิ่งอยู่รักเธอ ยิ่งเห็นแก่ตัว,8
ขอเป็นคนสุดท้ายที่เธอคิดถึงก็พอ,7
อยากเป็นคนที่เธอให้ความสำคัญหว่ะ ต้องทำไงอ่ะ บอกกันหน่อยได้มั้ย??,7
เหมือนให้ความหวังชั้นแล้วเธอก็จากไป:/ #น้องหมอของผม https://t.co/FEksKwm3fy,7
@Ayakahoshi5 เธอเลี้ยง,6
@PleanPlang ว่าจะไปกับแฟนแต่หวังว่ามันจะไม่ว่างจะได้ไปกับเธอ,7
"ทุกอย่างมันคือ ความฝัน
ที่เราอยากให้เป็น
เพราะสุดท้าย เธอมองไม่เห็นค่าเราเลย
#อกหัก #บั่บบบโคตรแพ้",2
ที่เธอเงียบนั้นแปลว่ายอมรับหรือเปล่า,7
"ไม่มีเธอกับฉัน
ไม่มีวันเหล่านั้น",7
เจ็บกว่าโดนผึ้งต่อย คืออ่อยแล้วเธอไม่เอา #ผู้หญิงเป็นเพศที่ฮาร์ดคอ #คำคมเด็กช่าง #มุขเสี่ยว #แคปชั่นเด็ด,2
@_elfxicetsu เราอยู่กับเธอตรงนี้เสมอ,7
@MGXSVT งั้นพี่ก็จะตามมิกกวยไปเรื่อยๆ มีเธอและฉัน มีกันตลอดไปเรยยยยย&gt; &lt;,7
"ล: พี่ทองหาคำเปรียบเปรยมาจากไหนเยอะแยะ
ท: มันอยู่ที่ *เอานิ้วจิ้มหัว*
ล: ผมหรอ??? หัวล้านอ่ะนะ????
ท: ใช่ เธอต้องหัวล้านซะก่อน

55555555555!",7
จริง ๆ เรื่องฟ้องข้ามประเทศมีตัวอย่างนะพวกเธอ เร็ว ๆ นี้ที่ผ่านมาก็เว็บ kodhit ไง เลยหาซับไทยดูยากอยู่นี่ ถถถถถ 😂😂😂,1
@_BBXY รอเธอกลับมา,7
ไหนๆก็ครบ1อาทิตย์ที่ฉันมาที่นี้แล้ว ยังไงฉันขอคอมเม้นท์จากพวกเธอหน่อยได้ไหม จะติหรือจะชมหรือจะสารภาพรัก(?)ก็ได้ ฉันรออยู่ใน mention/DM นะ,7
"""ลักยิ้มที่น่ารักของเธอ ใครก้ได้ลองหันไปดูสิ มันทำให้เธอดูน่ารักมากๆเลยนะ ""

White sugar - Monsta X
#วอนกี https://t.co/EbZdNrIDWx",7
อยากเป็นคนนั้น คนที่ได้เจอเธอ #LISA #JANNIE https://t.co/JCZs4WfwkX,7
@cartoonizz คมขนาดนั้นเรยยย  5555 โชคดีนะเธอ ว่างๆเดี่ยวนั่งรถไปเที่ยววนครปฐมมม,1
เด็กเหี้ย หลายงานละนะมึง,4
@selotojang กูไม่กินหญ้า... เผื่อมึงจะไม่รู้กูกินก้าน 55555555555555555,1
@bungwaa เอา porn มึงคืนไป กูหาดูเองได้ 5555,1
ขนาดกูไม่ค่อยมีเงิน ของที่กูต้องซื้อยังเยอะกว่ามึง กูยังไป,7
ถ้าคุณน้องจะวิ่งดักหน้าซาแซงขนาดนั้นมึงไม่ไปจับตัวเขามาขอเซลฟี่เลยอะ,7
ถ้าจะหายไปจริงๆมึงช่วยหายไปเลยได้มั้ย ไม่ต้องแบบมาๆหายๆ กูขี้เกียจตัดใจหลายครั้ง กูเหนื่อย.,7
@eyetamon บอกแล้วไม่มีคนอื่น มึงไม่เชื่อกู มึงเป็นเเฟนกู กูจะมีคนอื่นทำไม ชอบเที่ยวไม่ใช่เหรอ ลำพูนมีไม่เที่ยวอยากไปชม,7
เกี่ยวไรกับบังทันอ่ะ นี่งง มึงปล่อยให้น้องกูไปรักษาสิวเหอะ อย่าเพิ่มงาน ฮือ 😂,2
มึงมโนไปเองก็เจ็บเองไง๊,2
"🐻มึงว่าทำไมไม่มีใครมาคุยกะเราเรยวะ
🐙กุว่าสงสัยเราจะหน้าตาดีไปอะ เค้าเลยประหม่า
🐻ถามจิ๊ง
🐙เออ กุรู้ กุเรียนมา 😂😂😂😂 https://t.co/qoYcn13RJ4",7
"ก็รู้ ว่าฉันไม่มีความหมาย 
และพอจะรู้ว่าคงเป็นไปไม่ได้
ยิ่งนานเท่าไรยิ่งหมดหวัง 🎶",7
น่าเบื่อบอกให้ทำนั้นทำนี้ ทำไมได้ทักไปนะ เออ มีใครตอบฉันสักคนไหม ห่า,4
"“ฉันไม่ควรหลงรักใครก่อนจะได้รู้ความคิดคของเขา คำพูดของคุณมันเหลือทน
ใบหน้าเข้มและเสียงกังวานแค่ไหนก็ต้านไม่อยู่”… https://t.co/TSG2ZFmJ4K",7
เนี่ย มันมีบั้มส่วนนึงอยู่กับพี่คนนี้ แล้วอีกส่วนคือถึงฉันแล้ว แล้วของมันช้าเพราะชิปปิ้งเกาหลีมันหยุดโว้ย แล้วนี่ฉั… https://t.co/nTfgMjJPsI,7
ฉันมาทำอะไรที่นี่,7
@DISNEY129 ฉันกินเกี๊ยวกับลอดช่องด้วยแหละ 555555 https://t.co/JsPSh4pyA4,1
"เจนนี่เคยบอกว่าชอบประเทศไทย ตอนนี้ก็อยู่ประเทศไทยกับแฟนค่ะ ตกลงชอบไทย หรือชอบคนไทย 😆 เจนลิสเราเชียร์เธอนะ เฮ้ยย่ะๆ
#BLACKPINK  #Jenlice",1
อยากจะกลืนกินเธอทั้งตัวไม่อยากเหลือไว้ให้ใครได้กลิ่น #taeny https://t.co/lemfcDJs7Q,7
ถ้าเธออยากทำร้ายก็เชิญ แต่อย่าเดินหนีไปจากฉัน,7
"ต่อไห้เราไม่ได้ผิด
แต่ต้องง้อเพื่อไห้ดีกัน เรายอม
แต่ถ้าเธอมีคนอื่น เรายอมไม่ได้จริงๆหวะ",8
วงที่เธอไม่ตามคือวงไม่ดัง จำวรั๊ย อย่าเอาตัวเองมาเป็นบรรทัดฐานของคนอื่น ออกจากะลาซะและชีวิตจะดีขึ้นนะ,4
"แม้เธอจะมีใครไม่สนใจแม้ค.เป็นจริงจะเป็นเช่นไร
ฉันกำลังรับฟัง "" ทุกอย่าง-Scrubb "". รับฟังเพลงจาก JOOX ได้เลย! https://t.co/DLE3Tktp0c (#JOOX)",7
แทงหวยแล้วถูกกิน แทงเธอได้ไหมจะได้ถูกคน😂 55555 #ผู้หญิงเป็นเพศที่ฮาร์ดคอ,7
เค้ารู้ทุกอย่างอะไรที่กูกลัวที่สุด แต่เค้าเลือกที่จะทำ ไม่เป็นไรเธอมีเหตุผลอยู่แล้ว ช่างมันเถอะ ขอโทษแล้วก็ขอบคุณนะ ทุกอย่างเลย,8
เธอมัน... https://t.co/RsTYD6mqSU,6
@ozatoedoria ....เธอเนี่ยเอาแต่ใจจริงๆเลยนะ ~ *หัวเราะร่วนแล้วกอดตอบ*,8
เราไม่เคยอยากจะให้เธอหายไปจากชีวิตเราเลยจริงๆนะ #Gorkaeruk,7
เธอตัดสินใจจะไปแล้ว https://t.co/zyj5j6FS1g,2
@THITIPH1102 วงที่ฉันรักก็มีอยู่วงเดียวถ้าฉันไม่อวยละเธอจะให้ฉันอวยใคร?,7
ก็เพราะว่าเทอน่ารักทุกๆ วันจนไม่อาจเปลี่ยนใจฉันที่มีให้เทอได้เลย,7
"@JudithTWD_TH ส่ายหัวไปมาแล้วนั่งรอ ""ฉันจะไม่มารอแล้ว!"" หยิบส้อมกับช้อนขึ้นมาจัดแจงอาหารบนโต๊ะ""",8
หากยังรักเขา ก็อย่ามารักฉัน~,7
รู้ยังว่าฉันเป็นใคร — ไม่ https://t.co/XFiMYA94sX,7
อาจจะเป็นเพราะฉันเอง😌,7
ไม่เคยมีวันไหนที่ฉันจะเบื่อเทอ.💓,7
ฉันเชื่อความรู้สึก มันสำคัญกว่าสิ่งใด😂💕,7
แกฉันอยากอยู่คนเดียว,7
@Yunhyeong_icbf ฉันก็เหมือนกัน,8
@PHURINATKTW มึงลองไปคุยกับแกดูว่ะ //ใช่เรื่องพรีเซนต์ไหม,6
กับเรื่องนี้กูจะโกรธแล้วนะ พูดตรงๆว่ามึงไม่กิฟอะแดมในการหาหรือผ่อนคืนเลย กูต้องการเงินก้อน คือต้องทวงอีกหรอ ทั้งๆที่บอกว่าไม่มีจะใช้นานละนะ?,4
อิปินส์ อิอินโด ณ จุดนี้ มึงต้องก๊อปทวิตแจกของที่ดีกว่าทุเรียนทอด กุ้ง ไอโฟน ทอง ต้นไม้ นะคะ กุถึงจะแกล้งโง่รีให้ #MissUniverse #Thailand,4
จะเหี้ยกับใครก็ได้ แต่มึงจะเหี้ยกับคนที่เขาหวังดีกับมึงไม่ได้,7
@Mimew11 เหมือนมึงขุดให้คนที่หลุดรีแล้วมารีให้มึงเพิ่มสัส555555,1
กูจะแขวะมึง มึงทำกูเจ็บอะทำไมอะ พาลว่ะ555,4
ทำมัยหล่อขนาดนี้ แต่ควยขนาดนี้ กรูว่ามึงเป็นรับเถอะ @mubestboy https://t.co/4lQiofnSVu,7
มึงอยู่ไหนตอนนี้ ว่างเลยมั้ยตอนนี้อะ https://t.co/bKCTlhNztY,7
เรื่องแย่ๆ ในอดีตมึงก็เก็บไว้ดิวะ จะเอามาพูดทำไมอ่ะ,7
@chillin_dat รักมึงนะ. https://t.co/lfK54ijM5R,1
มันก็ดังกันทุกวงแหละ แต่ที่มึงมาทวิตบอกตัดสินเพียงแค่ไปเกาหลีมานี่มันม่ายช่ายยยย อีเด๋อออ,4
มันไม่ใช่ใครก็ได้อะเข้าใจปะมึงงงงง555555,8
@theploi_ly เค้าเหนื่อย เค้าไม่อยากคิดไรแล้วงะมึง😭😭,2
เด๋อชห พอพวกกูไม่มาก็มานินทาลับหลัง คือพวกมึงไม่บอกกูเองปะ,4
@babuababo ถ้าถ้ามึงร้องก็หมายถึงกุนระคนน่ารักเอ่าะ,1
คิดถึงมึง :(,7
มึงงง คือกูหิวข้าว ไม่ได้กินไรตั้งแต่เช้า กูพึ่งตื่นนนนนน,2
"มึงคิดว่าเขาจะหยุดอยู่กับผู้หญิงที่มีสมองเล็กกว่านมอย่างมึงงั่นหรอ? เหอะ
#แคปชั่นเด็ด #ป่ากามเทพ #คำคมในวงเหล้า #คำคม #แคปชั่นเด็ดแคปให้ด้วย",7
ของฝากก็ไม่เคยมีกลับมาให้กู ไม่ได้อยากได้มากแต่แค่อยากเห็นความใส่ใจของมึงแค่นั้นเองว่ะ,7
"เมื่อคนที่เกลียดที่สุดในห้องหยิบยางลบ
มึงไปใช้แบบไม่ขอแถมยังเสือกไม่คืนอีก https://t.co/7hF1b85Pmh",4
"เค้าไม่ได้คุยกับมึงคนเดียว ! จำใส่สมองไว้สะ
#บอกตัวเอง 😊",8
"ถามเพื่อนของขวัญปัจฉิมอยากได้อะไร รีเควสมา 
เพื่อน1:บั้ม
เพื่อน2:สแตนดี้พี่แจ็ค 
/พวกมึงไปซื้อเอาเองละกันนะ 🙄",6
สุดท้ายกูก็เจอมึง...,8
แค่หน้ามึงกูยังไม่อยากมองเลย,5
@Ye_Gie_Seung เดี๋ยวๆ กูส่ง อูยูมาให้มึงนะเนี่ย,6
@eyekno21 ....อ้ออออออ เพราะงั้นมึงเลยอยากเอาไปร้องใช่มะ เพราะจะได้ร้องให้กุงี้ &gt;_&lt; ว้าย,7
@Ruttiyakornz 55555555555โอ้ยยยยยย กูขำๆๆ ไปกดๆๆ เผื่อเขาเข้าไปส่องมึงๆๆๆ,1
@Bowaiii มึงบอกเลขเด็ดมาเลยยยย,7
"#บางรักซอย9ทับ1 EP11
ยังไม่จบกับ #แป้งหอม 
ในบรรดาตัวละครเด็กวัยรุ่น 4 คน
เธอเพี้ยนสุดละ...555
ออกมาแต่ละที..ทำเรา… https://t.co/2MXLqN0YJO",1
@SMllllor ริมฝึปากเธองดงามดั่งดอกกุหลาบสีชมพู~ ♪,1
หนักกว่าเธอก็เจอมาแล้วววววววววววววว,8
"หน้าหนาวก็ชอบนะ แต่เราชอบหน้าเธอมากกว่า
(ขอสองได้ไหม 😁) #อู๋ซิง 
#บ้านท่านประธานอู๋ #คนของซิง 
@OAUJUN_KORN @ssingss https://t.co/DjovaMZPTi",7
"อยาก "" กอด "" เธอสักครั้ง ในวันนี้

เผื่ออีกไม่กี่นาที...ต้องจากลา

#รักเธอ #รักได้คบไม่ได้ #เธอรักเขา",7
@aaoupb ร้ายกาจ ออกมาแล้วค่ะ เป็นไง ฉันสวยใช่มะ,7
@SHWxRowan คงไม่ต้องแล้วละมั้ง เพราะฉันเห็นนายยิ้มแล้ว :),7
@guitar_jrw ได้สิ~! *ยิ้มตาปิดให้อีกฝ่ายแล้วออกเดินนำ* จะว่าไป.. นี่เป็นครั้งแรกล่ะนะที่ฉันไปกับคนอื่นที่ไม่ใช่พวกนัตจังน่ะ~,1
ฉันรู้ว่ามีคนถอนหายใจตอนฉันเล่นมุก แต่ฉันไม่ถือหรอก ฉันจะเล่นมันต่อไป,7
คุณอยู่ในจุดที่ต้องร้องขอให้ฉันรัก ถ้าคุณไม่สามารถทำให้ฉันรักได้ คุณก็ไม่มีทางที่อยู่เหนือฉัน คุณต้องง้อการสนับสนุนของฉัน ไม่ใช่ให้ฉันง้อคุณ,7
ฉันมาทันนน ฮือออออ พคชเซอร์วิสอยู่ #kachanontanun https://t.co/fRMtRnx9TF,7
@beauxXlayla ฉันคงไม่ไปรบกวนขนาดนั้นหรอกนะคะ แต่ว่าก็อยากเห็นเหมือนกันนะ ว่าแต่คุณถนัดคาถาแบบไหนกันเหรอคะ?,7
"[ถาม-ตอบจาก ©ask.fm ของคุณ WinterStrawVerry] 9

Q:ช่วยลงรูปของแทฮยองที่ดีสุดที่เคยถ่ายมาหน่อยได้มั้ยคะ?

• ส่วนตัวแ… https://t.co/FHJ8FqDqhI",7
ไม่มีมันก็ไม่ตาย ฉันเชื่อว่าอย่างนั้น  #โสด,7
@SHWxLillia เบื่ออะไร ฉันเห็นเธอตะลอนไปรอบปราสาท -_-,6
จากประสบการณ์ที่ฉันสะสมมา มุกฉันจะพัฒนาทุกวัน ฉันเชื่อแบบนั้น /ยืดอก,7
ไม่รู้จะมีใครใหม่ได้เทียมเท่าเธอ,7
"ถ้าวันหนึ่งเราหายไป
เธอจะรู้สึกอะไรหรือป่าว",7
@peachhbell เพื่อนเธอเหรอ ชื่อบอลลูน เพื่อนเบลล่า ไหนอาหารให้ชั้นกินน้องหมาหรอ......,7
"ไม่มีรักใดยิ่งใหญ่เท่ากับที่เธอมีให้เรา…เรา
รักเตี้ยมากที่สุดในโลก",1
